kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
tum,2,3,0,1,0,0.6667,0.0030211480362537,0.0454545454545454,0.0,0.0,0.0,0.6667,0,mudah
mengenali,1,9,1,4,0,0.3333,0.0,0.3181818181818182,1.0,0.375,0.0,0.3333,1,sulit
posisi,4,6,1,3,0,0.1667,0.0090634441087613,0.1818181818181818,1.0,0.25,0.0,0.1667,1,sulit
terdiam,4,7,1,3,0,0.2857,0.0090634441087613,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
jeda,2,4,1,2,0,0.25,0.0030211480362537,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
detik,1,5,1,2,0,0.2,0.0,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
terburu,3,7,1,3,0,0.4286,0.0060422960725075,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
mem,1,3,0,1,0,0.6667,0.0,0.0454545454545454,0.0,0.0,0.0,0.6667,0,mudah
perjelas,1,8,1,3,0,0.125,0.0,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
pertanyaannya,1,13,1,5,0,0.3077,0.0,0.5,1.0,0.5,0.0,0.3077,1,sulit
pewangi,1,7,1,3,0,0.4286,0.0,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
an,1,2,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,mudah
terpancing,1,10,1,3,0,0.3,0.0,0.3636363636363636,1.0,0.25,0.0,0.3,1,sulit
peta,2,4,1,2,0,0.25,0.0030211480362537,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
lambang,1,7,1,2,0,0.4286,0.0,0.2272727272727272,1.0,0.125,0.0,0.4286,1,sulit
garuda,1,6,1,3,0,0.3333,0.0,0.1818181818181818,1.0,0.25,0.0,0.3333,1,sulit
terucap,1,7,1,3,0,0.2857,0.0,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
cerdas,1,6,1,2,0,0.1667,0.0,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
rapornya,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
ii,1,2,0,2,0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,mudah
memikirkan,1,10,0,4,0,0.3,0.0,0.3636363636363636,0.0,0.375,0.0,0.3,0,mudah
menyia,1,6,1,3,0,0.3333,0.0,0.1818181818181818,1.0,0.25,0.0,0.3333,1,sulit
nyiakannya,1,10,1,4,0,0.3,0.0,0.3636363636363636,1.0,0.375,0.0,0.3,1,sulit
suk,1,3,0,1,0,0.3333,0.0,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
terbuka,1,7,1,3,0,0.2857,0.0,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
duduknya,3,8,1,3,0,0.625,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.625,1,sulit
mele,1,4,0,2,0,0.25,0.0,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
wati,1,4,0,2,0,0.25,0.0,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
tahapan,1,7,1,3,0,0.2857,0.0,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
tukas,1,5,0,2,0,0.2,0.0,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
menulis,4,7,0,3,0,0.4286,0.0090634441087613,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
papan,4,5,1,2,0,0.6,0.0090634441087613,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
kekelas,1,7,0,3,0,0.0,0.0,0.2272727272727272,0.0,0.25,0.0,0.0,0,mudah
bersorak,2,8,1,3,0,0.125,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
digaungkan,1,10,1,4,0,0.4,0.0,0.3636363636363636,1.0,0.375,0.0,0.4,1,sulit
menuliskan,3,10,0,4,0,0.4,0.0060422960725075,0.3636363636363636,0.0,0.375,0.0,0.4,0,mudah
