kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
cerita,38,6,0,3,0,0.0,0.1117824773413897,0.1818181818181818,0.0,0.25,0.0,0.0,0,mudah
menangis,9,8,1,3,0,0.375,0.0241691842900302,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
sekolah,54,7,0,3,0,0.0,0.1601208459214501,0.2272727272727272,0.0,0.25,0.0,0.0,0,mudah
bu,204,2,1,1,0,1.0,0.6132930513595166,0.0,1.0,0.0,0.0,1.0,1,sulit
terkadang,1,9,1,3,0,0.2222,0.0,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
sukai,1,5,0,3,0,0.2,0.0,0.1363636363636363,0.0,0.25,0.0,0.2,0,mudah
kebaikan,2,8,1,4,0,0.25,0.0030211480362537,0.2727272727272727,1.0,0.375,0.0,0.25,1,sulit
takut,13,5,0,2,0,0.2,0.0362537764350453,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
suka,40,4,0,2,0,0.25,0.1178247734138972,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
teman,332,5,0,2,0,0.4,1.0,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
slb,1,3,1,1,0,0.3333,0.0,0.0454545454545454,1.0,0.0,0.0,0.3333,1,sulit
bibir,9,5,1,2,0,0.4,0.0241691842900302,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
rahasia,5,7,0,4,0,0.0,0.0120845921450151,0.2272727272727272,0.0,0.375,0.0,0.0,0,mudah
bibirmu,1,7,1,3,0,0.5714,0.0,0.2272727272727272,1.0,0.25,0.0,0.5714,1,sulit
dengar,5,6,1,2,0,0.3333,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
cantik,6,6,0,2,0,0.1667,0.0151057401812688,0.1818181818181818,0.0,0.125,0.0,0.1667,0,mudah
iya,41,3,0,2,0,0.0,0.120845921450151,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
disukai,3,7,1,4,0,0.2857,0.0060422960725075,0.2272727272727272,1.0,0.375,0.0,0.2857,1,sulit
tersenyum,22,9,1,3,0,0.3333,0.0634441087613293,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
mengejek,3,8,1,3,0,0.25,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
ketiga,8,6,0,3,0,0.0,0.0211480362537764,0.1818181818181818,0.0,0.25,0.0,0.0,0,mudah
hibur,1,5,1,2,0,0.4,0.0,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
temanmu,6,7,0,3,0,0.5714,0.0151057401812688,0.2272727272727272,0.0,0.25,0.0,0.5714,0,mudah
bersedih,4,8,1,3,0,0.25,0.0090634441087613,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
keempat,2,7,1,3,0,0.2857,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
malu,14,4,0,2,0,0.5,0.039274924471299,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
memuji,3,6,0,3,0,0.5,0.0060422960725075,0.1818181818181818,0.0,0.25,0.0,0.5,0,mudah
sayang,5,6,1,2,0,0.1667,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
namanya,14,7,1,3,0,0.4286,0.039274924471299,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
manis,17,5,0,2,0,0.4,0.0483383685800604,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
ucapkan,2,7,1,3,0,0.4286,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
tolong,5,6,1,2,0,0.1667,0.0120845921450151,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
maaf,20,4,0,2,0,0.25,0.0574018126888217,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
salah,28,5,0,2,0,0.0,0.0815709969788519,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
terima,28,6,0,3,0,0.1667,0.0815709969788519,0.1818181818181818,0.0,0.25,0.0,0.1667,0,mudah
kasih,30,5,0,2,0,0.0,0.0876132930513595,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
mengikuti,11,9,1,4,0,0.3333,0.0302114803625377,0.3181818181818182,1.0,0.375,0.0,0.3333,1,sulit
pesankan,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
membantu,44,8,1,3,0,0.625,0.1299093655589124,0.2727272727272727,1.0,0.25,0.0,0.625,1,sulit
kesulitan,3,9,0,4,0,0.2222,0.0060422960725075,0.3181818181818182,0.0,0.375,0.0,0.2222,0,mudah
sedih,15,5,1,2,0,0.2,0.0422960725075528,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
ingatlah,1,8,1,3,0,0.125,0.0,0.2727272727272727,1.0,0.25,0.0,0.125,1,sulit
ayo,42,3,0,2,0,0.0,0.1238670694864048,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
berangkat,12,9,1,3,0,0.2222,0.0332326283987915,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
telat,7,5,0,2,0,0.0,0.0181268882175226,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
lo,5,2,0,1,0,0.0,0.0120845921450151,0.0,0.0,0.0,0.0,0.0,0,mudah
sdn,1,3,1,1,0,0.6667,0.0,0.0454545454545454,1.0,0.0,0.0,0.6667,1,sulit
cimarga,2,7,0,3,0,0.1429,0.0030211480362537,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
lebak,1,5,1,2,0,0.2,0.0,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
banten,1,6,1,2,0,0.5,0.0,0.1818181818181818,1.0,0.125,0.0,0.5,1,sulit
anak,112,4,0,2,0,0.25,0.3353474320241692,0.0909090909090909,0.0,0.125,0.0,0.25,0,mudah
kedatangan,2,10,1,4,0,0.3,0.0030211480362537,0.3636363636363636,1.0,0.375,0.0,0.3,1,sulit
perkenalkan,2,11,1,4,0,0.2727,0.0030211480362537,0.409090909090909,1.0,0.375,0.0,0.2727,1,sulit
dirimu,1,6,1,3,0,0.5,0.0,0.1818181818181818,1.0,0.25,0.0,0.5,1,sulit
namaku,5,6,0,3,0,0.5,0.0120845921450151,0.1818181818181818,0.0,0.25,0.0,0.5,0,mudah
andini,2,6,1,3,0,0.5,0.0030211480362537,0.1818181818181818,1.0,0.25,0.0,0.5,1,sulit
paramita,1,8,1,4,0,0.25,0.0,0.2727272727272727,1.0,0.375,0.0,0.25,1,sulit
murid,11,5,1,2,0,0.6,0.0302114803625377,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
tertawa,16,7,0,3,0,0.1429,0.0453172205438066,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
guru,16,4,0,2,0,0.5,0.0453172205438066,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
mencoba,9,7,1,3,0,0.4286,0.0241691842900302,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
menenangkan,3,11,1,4,0,0.4545,0.0060422960725075,0.409090909090909,1.0,0.375,0.0,0.4545,1,sulit
duduk,30,5,1,2,0,0.8,0.0876132930513595,0.1363636363636363,1.0,0.125,0.0,0.8,1,sulit
kursinya,3,8,1,3,0,0.25,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
wajah,7,5,0,2,0,0.2,0.0181268882175226,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
tertunduk,1,9,1,3,0,0.4444,0.0,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
ditertawakan,2,12,1,5,0,0.25,0.0030211480362537,0.4545454545454545,1.0,0.5,0.0,0.25,1,sulit
raisa,8,5,0,3,0,0.0,0.0211480362537764,0.1363636363636363,0.0,0.25,0.0,0.0,0,mudah
jajan,6,5,0,2,0,0.2,0.0151057401812688,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
kantin,9,6,0,2,0,0.3333,0.0241691842900302,0.1818181818181818,0.0,0.125,0.0,0.3333,0,mudah
temmy,7,5,0,1,0,0.4,0.0181268882175226,0.1363636363636363,0.0,0.0,0.0,0.4,0,mudah
oh,32,2,0,1,0,0.0,0.093655589123867,0.0,0.0,0.0,0.0,0.0,0,mudah
din,34,3,1,1,0,0.6667,0.0996978851963746,0.0454545454545454,1.0,0.0,0.0,0.6667,1,sulit
pulang,40,6,1,2,0,0.5,0.1178247734138972,0.1818181818181818,1.0,0.125,0.0,0.5,1,sulit
makan,59,5,0,2,0,0.4,0.175226586102719,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
bekalnya,4,8,1,3,0,0.25,0.0090634441087613,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
kaget,8,5,0,2,0,0.0,0.0211480362537764,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
berbeda,19,7,1,3,0,0.4286,0.0543806646525679,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
dibawakan,1,9,1,4,0,0.4444,0.0,0.3181818181818182,1.0,0.375,0.0,0.4444,1,sulit
bekal,7,5,1,2,0,0.2,0.0181268882175226,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
ibuku,3,5,1,3,0,0.6,0.0060422960725075,0.1363636363636363,1.0,0.25,0.0,0.6,1,sulit
besok,21,5,1,2,0,0.2,0.0604229607250755,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
tidur,19,5,1,2,0,0.4,0.0543806646525679,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
menyenangkan,8,12,1,4,0,0.4167,0.0211480362537764,0.4545454545454545,1.0,0.375,0.0,0.4167,1,sulit
si,34,2,0,1,0,0.0,0.0996978851963746,0.0,0.0,0.0,0.0,0.0,0,mudah
sumbing,7,7,1,2,0,0.5714,0.0181268882175226,0.2272727272727272,1.0,0.125,0.0,0.5714,1,sulit
pergi,27,5,1,2,0,0.2,0.0785498489425981,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
denganku,2,8,1,3,0,0.5,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
rendi,6,5,1,2,0,0.4,0.0151057401812688,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
pr,2,2,1,1,1,0.5,0.0030211480362537,0.0,1.0,0.0,0.5,0.5,1,sulit
bagas,41,5,1,2,0,0.2,0.120845921450151,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
ren,6,3,0,1,0,0.3333,0.0151057401812688,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
nomor,5,5,0,2,0,0.4,0.0120845921450151,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
biasalah,1,8,1,4,0,0.125,0.0,0.2727272727272727,1.0,0.375,0.0,0.125,1,sulit
kerjakan,3,8,0,3,0,0.125,0.0060422960725075,0.2727272727272727,0.0,0.25,0.0,0.125,0,mudah
menolak,9,7,0,3,0,0.2857,0.0241691842900302,0.2272727272727272,0.0,0.25,0.0,0.2857,0,mudah
selesai,25,7,0,4,0,0.0,0.0725075528700906,0.2272727272727272,0.0,0.375,0.0,0.0,0,mudah
jam,27,3,0,1,0,0.3333,0.0785498489425981,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
istirahat,13,9,0,4,0,0.0,0.0362537764350453,0.3181818181818182,0.0,0.375,0.0,0.0,0,mudah
kelas,147,5,0,2,0,0.0,0.4410876132930514,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
makanku,1,7,0,3,0,0.4286,0.0,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
memangnya,5,9,1,3,0,0.4444,0.0120845921450151,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
makanmu,1,7,0,3,0,0.5714,0.0,0.2272727272727272,0.0,0.25,0.0,0.5714,0,mudah
coba,13,4,1,2,0,0.25,0.0362537764350453,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
tunjukkan,1,9,0,3,0,0.4444,0.0,0.3181818181818182,0.0,0.25,0.0,0.4444,0,mudah
lucu,9,4,0,2,0,0.5,0.0241691842900302,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
kupunya,1,7,1,3,0,0.5714,0.0,0.2272727272727272,1.0,0.25,0.0,0.5714,1,sulit
menjemput,5,9,1,3,0,0.5556,0.0120845921450151,0.3181818181818182,1.0,0.25,0.0,0.5556,1,sulit
gerbang,2,7,1,2,0,0.2857,0.0030211480362537,0.2272727272727272,1.0,0.125,0.0,0.2857,1,sulit
bibirku,2,7,1,3,0,0.4286,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
sempurna,3,8,1,3,0,0.5,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
gembira,7,7,1,3,0,0.2857,0.0181268882175226,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
belikan,2,7,1,3,0,0.2857,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
es,3,2,0,1,0,0.0,0.0060422960725075,0.0,0.0,0.0,0.0,0.0,0,mudah
krim,3,4,0,1,1,0.25,0.0060422960725075,0.0909090909090909,0.0,0.0,0.5,0.25,0,mudah
bilang,13,6,1,2,0,0.3333,0.0362537764350453,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
keesokan,12,8,0,4,0,0.125,0.0332326283987915,0.2727272727272727,0.0,0.375,0.0,0.125,0,mudah
harinya,13,7,1,3,0,0.1429,0.0362537764350453,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
asyik,13,5,0,2,1,0.0,0.0362537764350453,0.1363636363636363,0.0,0.125,0.5,0.0,0,mudah
tugas,15,5,0,2,0,0.2,0.0422960725075528,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
pelajaran,12,9,1,4,0,0.2222,0.0332326283987915,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
ipa,2,3,1,2,0,0.3333,0.0030211480362537,0.0454545454545454,1.0,0.125,0.0,0.3333,1,sulit
berkelompok,4,11,1,4,0,0.2727,0.0090634441087613,0.409090909090909,1.0,0.375,0.0,0.2727,1,sulit
berisi,5,6,1,3,0,0.1667,0.0120845921450151,0.1818181818181818,1.0,0.25,0.0,0.1667,1,sulit
rahma,10,5,0,2,0,0.2,0.0271903323262839,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
pengumuman,3,10,1,4,0,0.7,0.0060422960725075,0.3636363636363636,1.0,0.375,0.0,0.7,1,sulit
selamat,22,7,0,3,0,0.1429,0.0634441087613293,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
pagi,23,4,1,2,0,0.25,0.066465256797583,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
kelompok,21,8,1,3,0,0.25,0.0604229607250755,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
pesawat,10,7,1,3,0,0.2857,0.0271903323262839,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
sederhana,11,9,1,4,0,0.2222,0.0302114803625377,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
dipamerkan,1,10,1,4,0,0.4,0.0,0.3636363636363636,1.0,0.375,0.0,0.4,1,sulit
perlombaan,2,10,1,4,0,0.4,0.0030211480362537,0.3636363636363636,1.0,0.375,0.0,0.4,1,sulit
sains,4,5,0,2,0,0.2,0.0090634441087613,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
antarsekolah,2,12,0,5,0,0.0833,0.0030211480362537,0.4545454545454545,0.0,0.5,0.0,0.0833,0,mudah
ribut,3,5,1,2,0,0.4,0.0060422960725075,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
menentukan,3,10,0,4,0,0.5,0.0060422960725075,0.3636363636363636,0.0,0.375,0.0,0.5,0,mudah
anggota,4,7,1,3,0,0.1429,0.0090634441087613,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
kelompoknya,4,11,1,4,0,0.2727,0.0090634441087613,0.409090909090909,1.0,0.375,0.0,0.2727,1,sulit
tenang,16,6,1,2,0,0.3333,0.0453172205438066,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
yangakan,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
membagi,3,7,1,3,0,0.4286,0.0060422960725075,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
ide,8,3,1,2,0,0.3333,0.0211480362537764,0.0454545454545454,1.0,0.125,0.0,0.3333,1,sulit
bagus,21,5,1,2,0,0.4,0.0604229607250755,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
bikin,5,5,1,2,0,0.4,0.0120845921450151,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
eh,14,2,0,1,0,0.0,0.039274924471299,0.0,0.0,0.0,0.0,0.0,0,mudah
rindu,19,5,1,2,0,0.6,0.0543806646525679,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
hati,36,4,0,2,0,0.0,0.1057401812688821,0.0909090909090909,0.0,0.125,0.0,0.0,0,mudah
menular,3,7,0,3,0,0.4286,0.0060422960725075,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
ketua,75,5,0,3,0,0.2,0.2235649546827794,0.1363636363636363,0.0,0.25,0.0,0.2,0,mudah
dinda,1,5,1,2,0,0.6,0.0,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
oki,6,3,0,2,0,0.0,0.0151057401812688,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
melda,1,5,1,2,0,0.4,0.0,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
oke,5,3,0,2,0,0.0,0.0120845921450151,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
hmmm,11,4,0,1,0,0.75,0.0302114803625377,0.0909090909090909,0.0,0.0,0.0,0.75,0,mudah
jenis,4,5,0,2,0,0.2,0.0090634441087613,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
rangkaian,3,9,1,4,0,0.2222,0.0060422960725075,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
maksudnya,3,9,1,3,0,0.4444,0.0060422960725075,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
katrol,1,6,0,2,1,0.0,0.0,0.1818181818181818,0.0,0.125,0.5,0.0,0,mudah
bidang,1,6,1,2,0,0.5,0.0,0.1818181818181818,1.0,0.125,0.0,0.5,1,sulit
miring,1,6,1,2,0,0.3333,0.0,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
pengungkit,1,10,1,3,0,0.4,0.0,0.3636363636363636,1.0,0.25,0.0,0.4,1,sulit
menghampiri,3,11,1,4,1,0.3636,0.0060422960725075,0.409090909090909,1.0,0.375,0.5,0.3636,1,sulit
ki,3,2,0,1,0,0.0,0.0060422960725075,0.0,0.0,0.0,0.0,0.0,0,mudah
sepengetahuan,1,13,1,6,0,0.3077,0.0,0.5,1.0,0.625,0.0,0.3077,1,sulit
buta,3,4,1,2,0,0.5,0.0060422960725075,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
perjalanan,8,10,1,4,0,0.3,0.0211480362537764,0.3636363636363636,1.0,0.375,0.0,0.3,1,sulit
waktu,28,5,0,2,0,0.4,0.0815709969788519,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
masakan,6,7,0,3,0,0.2857,0.0151057401812688,0.2272727272727272,0.0,0.25,0.0,0.2857,0,mudah
iwa,4,3,0,2,0,0.3333,0.0090634441087613,0.0454545454545454,0.0,0.125,0.0,0.3333,0,mudah
bawa,6,4,1,2,0,0.5,0.0151057401812688,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
belajar,14,7,1,3,0,0.1429,0.039274924471299,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
ketularan,5,9,0,4,0,0.2222,0.0120845921450151,0.3181818181818182,0.0,0.375,0.0,0.2222,0,mudah
sumbingnya,1,10,1,3,0,0.5,0.0,0.3636363636363636,1.0,0.25,0.0,0.5,1,sulit
nak,21,3,0,1,0,0.3333,0.0604229607250755,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
laporkan,2,8,1,3,0,0.25,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
jahil,1,5,0,2,0,0.0,0.0,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
dibalas,1,7,1,3,0,0.2857,0.0,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
kesal,12,5,0,2,0,0.0,0.0332326283987915,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
membalasnya,1,11,1,4,0,0.3636,0.0,0.409090909090909,1.0,0.375,0.0,0.3636,1,sulit
pesan,7,5,1,2,0,0.4,0.0181268882175226,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
sabar,10,5,1,2,0,0.2,0.0271903323262839,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
semoga,7,6,0,3,0,0.1667,0.0181268882175226,0.1818181818181818,0.0,0.25,0.0,0.1667,0,mudah
menggangu,2,9,1,3,0,0.4444,0.0030211480362537,0.3181818181818182,1.0,0.25,0.0,0.4444,1,sulit
mengantar,2,9,1,3,0,0.3333,0.0030211480362537,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
rin,7,3,0,1,0,0.3333,0.0181268882175226,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
menyapa,3,7,1,3,0,0.4286,0.0060422960725075,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
yuk,9,3,0,1,0,0.3333,0.0241691842900302,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
kemarin,13,7,0,3,0,0.2857,0.0362537764350453,0.2272727272727272,0.0,0.25,0.0,0.2857,0,mudah
mengajar,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
matematika,2,10,0,5,0,0.2,0.0030211480362537,0.3636363636363636,0.0,0.5,0.0,0.2,0,mudah
pintar,8,6,1,2,0,0.3333,0.0211480362537764,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
silakan,7,7,0,3,0,0.1429,0.0181268882175226,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
tempatmu,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
percaya,15,7,1,3,0,0.1429,0.0422960725075528,0.2272727272727272,1.0,0.25,0.0,0.1429,1,sulit
terdengar,12,9,1,3,0,0.2222,0.0332326283987915,0.3181818181818182,1.0,0.25,0.0,0.2222,1,sulit
tangisan,3,8,1,3,0,0.25,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
pojok,1,5,1,2,0,0.2,0.0,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
sheila,5,6,0,3,0,0.0,0.0120845921450151,0.1818181818181818,0.0,0.25,0.0,0.0,0,mudah
hebat,17,5,1,2,0,0.2,0.0483383685800604,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
menyelesaikan,3,13,1,6,0,0.2308,0.0060422960725075,0.5,1.0,0.625,0.0,0.2308,1,sulit
bantu,13,5,1,2,0,0.6,0.0362537764350453,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
enggaklah,1,9,1,3,1,0.1111,0.0,0.3181818181818182,1.0,0.25,0.5,0.1111,1,sulit
keberatan,2,9,1,4,0,0.2222,0.0030211480362537,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
diam,13,4,1,2,0,0.5,0.0362537764350453,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
dijemput,1,8,1,3,0,0.5,0.0,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
rumah,97,5,0,2,0,0.4,0.2900302114803625,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
permisi,3,7,1,3,0,0.2857,0.0060422960725075,0.2272727272727272,1.0,0.25,0.0,0.2857,1,sulit
siang,15,5,1,2,0,0.2,0.0422960725075528,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
ganggu,3,6,1,2,0,0.3333,0.0060422960725075,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
nenek,36,5,0,2,0,0.4,0.1057401812688821,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
malang,2,6,1,2,0,0.3333,0.0030211480362537,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
kaaliaan,1,8,0,5,0,0.125,0.0,0.2727272727272727,0.0,0.5,0.0,0.125,0,mudah
jjanggan,1,8,1,2,0,0.25,0.0,0.2727272727272727,1.0,0.125,0.0,0.25,1,sulit
aaku,1,4,0,3,0,0.25,0.0,0.0909090909090909,0.0,0.25,0.0,0.25,0,mudah
gak,2,3,0,1,0,0.0,0.0030211480362537,0.0454545454545454,0.0,0.0,0.0,0.0,0,mudah
hahahaha,1,8,0,4,0,0.0,0.0,0.2727272727272727,0.0,0.375,0.0,0.0,0,mudah
jalan,35,5,0,2,0,0.2,0.1027190332326283,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
panggil,11,7,1,2,0,0.2857,0.0302114803625377,0.2272727272727272,1.0,0.125,0.0,0.2857,1,sulit
ti,2,2,0,1,0,0.0,0.0030211480362537,0.0,0.0,0.0,0.0,0.0,0,mudah
dak,2,3,1,1,0,0.3333,0.0030211480362537,0.0454545454545454,1.0,0.0,0.0,0.3333,1,sulit
lari,10,4,0,2,0,0.0,0.0271903323262839,0.0909090909090909,0.0,0.125,0.0,0.0,0,mudah
kamarnya,2,8,1,3,0,0.25,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
menurutku,2,9,0,4,0,0.5556,0.0030211480362537,0.3181818181818182,0.0,0.375,0.0,0.5556,0,mudah
hubungannya,2,11,1,4,0,0.5455,0.0030211480362537,0.409090909090909,1.0,0.375,0.0,0.5455,1,sulit
metematika,1,10,0,5,0,0.2,0.0,0.3636363636363636,0.0,0.5,0.0,0.2,0,mudah
menyesal,2,8,1,3,0,0.25,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
makanan,29,7,0,3,0,0.4286,0.0845921450151057,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
ruang,6,5,1,2,0,0.4,0.0151057401812688,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
sepulang,10,8,1,3,0,0.375,0.0271903323262839,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
setuju,5,6,0,3,0,0.3333,0.0120845921450151,0.1818181818181818,0.0,0.25,0.0,0.3333,0,mudah
cepat,29,5,1,2,0,0.2,0.0845921450151057,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
temui,1,5,0,3,0,0.4,0.0,0.1363636363636363,0.0,0.25,0.0,0.4,0,mudah
membahas,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
rumahku,1,7,0,3,0,0.4286,0.0,0.2272727272727272,0.0,0.25,0.0,0.4286,0,mudah
minggu,9,6,1,2,0,0.5,0.0241691842900302,0.1818181818181818,1.0,0.125,0.0,0.5,1,sulit
dipajang,3,8,1,3,0,0.375,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
lomba,16,5,1,2,0,0.4,0.0453172205438066,0.1363636363636363,1.0,0.125,0.0,0.4,1,sulit
main,24,4,0,2,0,0.5,0.0694864048338368,0.0909090909090909,0.0,0.125,0.0,0.5,0,mudah
